股票代码,股票名称,强度,事件标题,对应事件ID,20日涨幅(%),20日乖离率(%),平均换手率(%)
002771,真视通,6.84,财报发布,3103,12.79,11.77,13.26
603496,恒为科技,6.24,技术突破,2775,-0.03,4.87,4.08
688720,艾森股份,6.24,重大合同签署,2795,17.73,11.47,5.11
