code,name,strength,event_title,event_id,return_20d,bias_20d,avg_turnover
002771,真视通,6.84,财报发布,3103,12.789281364189996,11.771628594707154,13.258955
688720,艾森股份,6.24,重大合同签署,2795,17.733616504854368,11.474985995604783,5.106439999999999
603496,恒为科技,6.24,技术突破,2775,-0.03343363423604668,4.873643043790878,4.07887
300511,雪榕生物,5.9,财报发布,2080,7.091172214182348,5.2032982655672395,3.765685
300199,翰宇药业,5.76,行业龙头动作,2911,12.078059071729953,7.996849033110578,6.67247
603486,科沃斯,5.72,财报发布,1022,0.6933247339567876,1.5942736294127398,0.668055
000815,美利云,5.72,重大合同签署,1007,11.80124223602485,7.190710138454656,21.888595000000002
920128,胜业电气,5.72,财报发布,2480,-3.409961685823757,1.546765487795055,1.2553699999999999
300223,北京君正,5.66,原材料价格波动,1838,-4.207677165354327,5.046816395182547,4.8803399999999995
688268,华特气体,5.5,原材料价格波动,2007,9.774072731666067,-5.217423053050488,9.96704
300166,东方国信,5.5,财报发布,162,1.8337408312958479,8.34715312327254,18.360859999999995
600382,广东明珠,5.5,财报发布,3118,24.41717791411043,14.913871260199441,3.2138000000000004
603618,杭电股份,5.5,财报发布,3087,22.064777327935218,-0.9953822473062953,13.722705000000001
002132,恒星科技,5.5,财报发布,2471,20.10582010582011,14.3144907465693,5.55997
600410,华胜天成,5.5,财报发布,204,7.0266272189349195,10.798445605773475,14.63502
601808,中海油服,5.28,原材料价格波动,2584,-12.30592294422082,-4.565224193497908,0.9633000000000003
603399,永杉锂业,5.28,财报发布,3504,26.97628458498024,12.310448804789582,7.766059999999999
300812,易天股份,5.28,产品发布/召回,468,12.538830838746131,7.551549174133634,15.84533
002340,格林美,5.28,财报发布,3076,7.604562737642592,6.16481180442664,2.8683000000000005
300458,全志科技,5.28,财报发布,3141,3.9566395663956664,7.186766513915266,3.1768099999999997
300957,贝泰妮,5.2,财报发布,551,-9.985315712187955,-2.6146819355265696,1.214765
000546,金圆股份,5.0,财报发布,1890,20.246478873239443,8.55054036872219,7.934049999999999
600455,博通股份,4.99,行业龙头动作,855,-7.341772151898726,-1.3040044686711338,3.327270000000001
688258,卓易信息,4.99,技术突破,558,0.5491585473870596,3.8937267481501414,3.2879799999999997
600873,梅花生物,4.99,技术突破,1657,-8.256107834877833,-2.9325251804973607,1.43567
920036,觅睿科技,4.92,技术突破,2257,-11.559633027522931,5.104777688131012,17.490154999999998
000519,中兵红箭,4.84,战争/冲突,1119,3.9812646370023614,3.929543260087182,2.16331
301636,泽润新能,4.84,产品发布/召回,842,-4.12077232085008,7.548294257017019,19.192320000000002
600316,洪都航空,4.8,行业标准制定,2338,8.470461289452388,3.474009264024689,1.7102950000000003
301230,泓博医药,4.8,财报发布,1446,6.940736785904969,1.8599743188781592,8.28949
600256,广汇能源,4.75,供应链变化,743,-13.623595505617974,-8.250037296732817,3.8830900000000006
000400,许继电气,4.68,行业龙头动作,3347,-10.436300174520065,-6.423791550425754,3.0186850000000005
003027,同兴科技,4.61,技术突破,2824,8.412098298676755,7.404546199405399,3.975905
300890,翔丰华,4.61,重大资产重组,3067,5.463258785942483,7.3426118626430785,6.14588
301486,致尚科技,4.61,技术突破,3419,10.799869409076065,7.134965180662791,11.473525
605296,神农集团,4.6,原材料价格波动,3538,-4.571428571428576,3.4678599087858197,0.7562450000000001
600339,中油工程,4.6,战争/冲突,1940,-6.921241050119342,-7.670454545454552,2.8865499999999997
002565,顺灏股份,4.58,行业新规,2255,10.256410256410266,14.082426361964506,21.46093
300708,聚灿光电,4.58,产品发布/召回,463,-5.544933078393881,4.285412708465279,5.636310000000001
300693,盛弘股份,4.51,行业龙头动作,407,16.386745347253743,10.5839730872078,6.92727
002881,美格智能,4.51,产品发布/召回,1316,-5.638122198631755,4.14903727233671,2.1799049999999993
000923,河钢资源,4.4,原材料价格波动,150,-0.5249343832021072,2.7991754366930572,1.889405
300164,通源石油,4.4,财报发布,995,-33.64303178484107,-14.543908813249775,25.033685
603186,华正新材,4.4,原材料价格波动,1305,16.785492870427774,13.573845608905055,7.043655000000001
000912,泸天化,4.4,原材料价格波动,1444,-12.792792792792792,-6.10146473954798,5.224055
300533,冰川网络,4.4,财报发布,3484,-15.482148815482152,-7.672680882084943,4.0034600000000005
603209,兴通股份,4.4,财报发布,3074,-4.169424222369286,-2.4127240868041433,1.6944700000000001
600141,兴发集团,4.4,战争/冲突,2674,-1.7385904998447756,-3.2819948661532976,2.1896250000000004
300184,力源信息,4.29,产品价格类,2846,9.161624891961976,12.677312873583737,8.212025
301225,恒勃股份,4.22,重大资产重组,3107,14.201183431952655,9.024149131478598,8.366655000000002
000062,深圳华强,4.22,技术突破,1340,11.921775103422345,9.574918536791929,4.679535
300842,帝科股份,4.22,重大资产重组,3150,-13.160049119934506,0.7898331254825013,4.44137
301629,矽电股份,4.22,行业龙头动作,392,-0.24827586206897495,12.781925573597913,7.731824999999999
300010,豆神教育,4.22,产品发布/召回,1477,-5.271317829457362,-0.17970919784349157,2.0429850000000003
600366,宁波韵升,4.22,技术突破,1455,4.560530679933656,4.895395749282534,1.8350899999999999
300115,长盈精密,4.22,重大合同签署,2308,4.276923076923079,4.7604327666151445,2.81255
601298,青岛港,4.1,重大合同签署,643,0.0,1.9963285910968482,0.20231
600186,莲花控股,4.05,技术突破,2089,10.970464135021087,9.219269102990053,12.64922
